KELAS,TWEET
HS,Kasus korupsi menyandera Golkar.Hal itu diakui Ketua DPP Partai Golkar.Sehingga menyebabkan partai pimpinan Aburizal Bakrie itu kian mlorot.
HS,@jadi11 mahfud md ngurus mk aja ga becus apalagi gurus negara!!
HS,"ganiayumumpuni ah elah ni no goblok gan gua diemin tpi tlp trus mungkin fans club ARB haha"""
HS,"Iya burung macan dan citra amoral abis """"@badri_sunaryo: ada....lu lu smoa...@burunghantu1913 @TrioMacan2000 @Citradamayanti1 @iskan_dahlan"""""""
HS,"Kasus korupsi kader Golkar pengaruhi citra IcalJakarta : Badai korupsi yang melanda para elit Partai Golkar... http://t.co/cQanakPEwy"""
HS,"Woi woi woii... Nyntaaaaiiii...""@SeptynAde: Brengswk pln anjing dahlan iskan bangsat"""
HS,"Ternyata yg dibilang ical it hanya bohong --"""
HS,Iklan ARB yg coba kasih motivasi siswa-siswi SMK itu BODOH ya @IndraJPiliang #Batam #RoadshowARB
HS,ABURIZAL BAKRIE BANGSAT!! Ojok sampe dadi presiden!
HS,"ARB AR Bangsat mulai numpang tenar pasang2 spanduk dukung garuda muda."""
HS,"Kalau Hatta Rajasa terlibat kasus korupsi maka pak @SBYudhoyono jg akan mengatakan tdk kenal dgn do'i @IndraJPiliang @fadjroeL #iyakali"""
HS,Nyelesain kasus lapindonya saja belum becus kok mau nyalon presiden - terus masalah2 indonesia mau gimana ? Bisa terselesaikan ? ARB
HS,sebodoh bodohnya orang lebih bodoh lagi orang yg milih ARB jadi presiden 2014!!!
HS," @TrioMacan2000""Kalo sy tdk antusias dgn kepopuleran Dahlan Iskan krn feeling analisa karakter stiap kmunculannya srasa testimoni iklan "
HS,"Tdk jujur ? ""@Beritasatu: Surya Paloh: 95% Pejabat Publik Laporkan Kekayaan Fiktif http://t.co/5clIa0HOdw"" @Surya_Paloh"
HS,"TrioMacan2000 sdh saatnya pemimpin tua produk orba disingkirkan. Jgn pilih sby arb wiranto prabowo dll produk orba"""
HS,"Klu jokowi cuek  ""@meinaddicted: Wiranto n Arb sosok yg ambisius jdi presiden kok jadi inget Amien Rais klo liat orang2 ambisius....#jijik"""""""
HS,"mohmahfudmd @JHasri Kalo Koruptor gimana? Khan """"Lupa"""" pada Sumpah Jabatan dan Kedudukan sbg Amanah. Hehehem # LupaDiri #"""
HS,"ARB di tvone WINHATI di MNCTV mendominasi kaami rakyat bosan dan muak lihatx.... 10.000% TIDAK akan terpilih... Masyarakat sdh cerdas.."""
HS,"RT @phanphann: ""@detikcom: Program-program Jokowi Belum Memuaskan Warga http://t.co/1RxVHIiZuR via @detik_tv"" bawel dah"
HS,"nirzaq Alasan kenapa unda aktif di twitter karena disini tenang tapi udh banyak yg bego :/ Kemaren aja habis dirusuh anak buah Wiranto."""
HS,"iskan_dahlan akunnya uda ga aktif mas dia lg banyak mencari pencitraan.. @alvinpermady: Cc ke dahlan iskan juga donk mas @pln_123"""
HS,"Jokowi ngapusi Setahun pemerintahan jokowi ahok menuai pujian dan kritikan...kritikan dtg dr ahli tata kota bhw perubahan d jakarta b..."""
HS,"Kalo Pinokio bohong hidungnya panjang ya kayaknya kalo ARB yang bohong dagunya panjang deh.."""
HS,"Mnding sk ngupil drpd sk nyuri dan sok alim @SiPitung64: nih @jokowi_do2 GUBERNUR BLOON yg suka ngupil.. @lucu_anak http://t.co/hao5u4dwHc"""
HS,Kalau Pinokio bohong hidungnya panjang ya? kayaknya kalau ARB yang bohong dagunya panjang deh..
HS,"Gerindra @Prabowo08 betul pak.. Harus dibutuhkan ahli Sejarahpak. Dalam kronologisnya agar kejadian tsb tdk terulang kembali. Thank you."""
HS,@mas_bho dri awal juga gw gk pernah simpatik ama jokowi. Doi cuman tipe yg nyia-nyiain amanah. Solo belon kelar ude ke Jkt
HS,"Oya pak @iskan_dahlan sekalian aja mentri2nya impor juga toh presiden - mentri lokal 2009-2014 juga tidak ada becus semua kerjanya"""
HS,"RT @JackTheAgnostic: Oya pak @iskan_dahlan sekalian aja mentri2nya impor juga toh presiden - mentri lokal 2009-2014 juga tidak ada becus sâ€¦"""
HS,"Serius dong pak @jokowi_do2 stadion bmw aja Molor ""@WartaKota: Jakmania Minta Pemprov Aktif Sokong Persija: Jakmania mendesak"""
HS,Jokowi sudah berhasil .   namun perkerjaanya tidak mudah jadi bersabarlah dan bantu beliau dalam menjalankan tugasnya dengan mematuhinya oke
HS,Betul sekali Mbak @NissRengganis. Pemimpin hrs berani. Alhamdulillah @Prabowo08 sdh membuktikan dgn aktif membantu proses hukum Wilfrida
HS,@iskan_dahlan pak. Klo menang konvesi dmorat. Pilih wkil yang ahli hukum tata negara n bersih p.mahfud. Koruptor harus dibasmi..
HS,Mau nyapres pantes sok alim :p LOL RT @temponewsroom: Nasional - Dahlan Iskan Deklarasikan Pendukungnya di Yogya http://t.co/DWcrb7NXdh
HS,"Listrik msh byar prett  gmn bs dahlan iskan mau maju jd presiden dikasi amanah mngelola listrik negara saja msh blm becus !!"""
HS,"RT @arienBelanjaBkz: Di Anggap GAGAL JOKOWI-AHOK Undang Warga ke MONAS  http://t.co/Rai0haosV1"""
HS,@detikcom jgn pilih ARB di pilpres nanti alias ICHAL BAKRIE
HS,"aburizalbakrie politik dinasti baik buat partai.statemen""KATROK"" !korupsi marakbisnis di monopoli.#gabakaljadiRI1bossdi2014"""
HS,"Payah RTrepublikaonline: Februari Mahfud MD Bakal 'Blak-Blakan' Soal Pencapresanrepublika.co.id/r/muyvvz"""
HS,"Payah RT @republikaonline: Februari Mahfud MD Bakal 'Blak-Blakan' Soal Pencapresanrepublika.co.id/r/muyvvz"""
HS,@mohmahfudmd betul pak..krn semua berasal dr nafsu alami manusia..dan itu tegantung niatnya mau dibawa dg yg baik ato yg buruk
HS,@iskan_dahlan jam 1 pln mati di ftmwati...gak becus ente bro
HS,Semakin banyak pihak yang berani bongkar korupsi @iskan_dahlan yang ditutupi2 media mainstream ! http://t.co/SS4xzfNKst
HS,"mohmahfudmd @abangjayOK. Asal mbelanya juga gak waton mbela pakkrn klo itu terjadi kadang2 ADIL yg menjadi dsrnya hukum gak tercapai"""
HS,Prabowo08 rakyat jg lg bingung pak siapa yg bisa ngelola kekayaan negara ini
HS," Klo @jokowi_do2 aja blm dianggap prestasinya apalagi si Ruhut si Nurhayati ? Cape dech...http://t.co/5T3Tf8CCOb"""
HS,@ronnie_rusli @jokowi_do2 PRJ kemayoran? kok malah bikin tandingan PRJ monas? artinya gak berani nyolek yg gede.
HS,@fadlizon @pesatnews @Gerindra @Prabowo08 DPT pemilu 2014 lebih parah dibandingkan dgn 2009 disebabkan proyek mendagri yg tidak becus. Ada?
HS,@fadlizon @Gerindra @Prabowo08 mendagri yang tidak becus dalam pelaksanaan proyek KTP yg hanya menghabiskan anggaran saja.. ini ada apa???
HS,@MahfudMD_Info @mohmahfudmd Sy hrp Bpk lupa bkn bohong bhw M. Alim desenting opinion dlm pts 138/2009. Jd bkn hny Bpk yg tdk setuju.
HS,@triomacan2000 @ratu_adil ayo kita buat rakyat melek thdp dosa @Prabowo08 http://t.co/QURg2S3mFZ
HS,@Gerindra @rusmana167 @Prabowo08 adili dulu dosa-dosa prabowo!! @TrioMacan2000 @ratu_adil
HS,"RT @BasriKomar: kekejaman pelanggaran HAM  sikap diktator KKN semua itu membuat @prabowo08 sbg duplikatnya Suharto. @ratu_adil @TrioMaca"""
HS,Jika prabowo dlm memimpin partai saja tidak becus bagaimana bisa menjadi presiden yg bagus?
HS,"Punya kekayaan segitu udah diumbar2 aburizal bakrie ge teu sombong hem"""
HS,"Jangan Monyet aja dirazia dong Pecun kita tau mangkal dimana aja kgk d razia Ga adil banget @jokowi_do2"""
HS,Pak @Pak_JK sma pak @mohmahfudmd pemimpin yg akan memprioritaskan kesejahteraan rakyat sama pemberantasan korupsi. Pengusaha dan ahli hukum
HS,wah ini bisa kena pencemaran nama baik!  @6erindra @kurawa @imanbr @PartaiSocmed @TrioMacan2000 @partaiHANURA @Wiranto1947
HS,Anjing babi bangsat kau @pln_123 MEDAN..masi mati listrik tiap hari kau buat..mana tu tindakan @SBYudhoyono @iskan_dahlan .. Jangan omdo tok
HS,RT @asatunewscom: Kasus Dugaan Korupsi Dahlan Iskan Ditelaah Mabes Polri: http://t.co/FV03TM6SYq @iskan_dahlan
HS,"Dharma_BT @SBYudhoyono @PLNSumut @iskan_dahlan Memang PLN tidak bisa di percaya Lebih baik Percaya Pada Penjahat"""
HS,"Jusuf Kalla merupakan tokoh nasional yang dikenal kerap berseloroh. Kali ini ketika ditanya soal kapabilitas...fb.me/1rdqMflbE"""
HS,"hattarajasa Sgt tdk bijak pemilik kndaraan kena pajak jalan.Jgn terus2an bebani rakyat.Jln kluar yg baik batasi produksi kndaraan brmotor."""
HS,"Guruh: Jokowi, Puan, Megawati Tidak Layak Nyapres republika.co.id/r/mv7u3f"""
HS,"Malu2in saja ni para calon penipu rakyat..RT@kompascom:Acit Pasrah Es Tebunya Tak Dibayar Rombongan Aburizal Bakrie kom.ps/AFaooG"""
HS,Acit Pasrah Es Tebunya Tak Dibayar Rombongan Aburizal Bakrie kom.ps/AFaooG viakompascom Si bapak pelupa / emg ceroboh nih? tsk
HS,"CAPRES TOLOL ! RT""@tribunnews: Acit Pasrah Es Tebunya tak Dibayar Rombongan Aburizal Bakrie - Tribunnews.com tribunnews.com/regional/2013/"""
HS,Surya Paloh mukanya kok kayak penyihir jahat.
HS,"Beriklan di MetroTV / Berdonasi via MediaGroup Peduli = ngasih biaya kampanye Surya Paloh. Belum berkuasa ajah dah licik yak... HORROR..!"""
HS,"Bukan rahasia kok korup homo dan tukang tipu si Jokowi """"@Metro_TV: Megawati Beberkan Rahasia Jokowimetrotvn.ws/N193688"""""""
HS,"Ah dusta dulu bilboard lu gede banget pgn jd capres RTkompasiana Wiranto:Jika NAFSU Menjabat Saya Sudah Jadi Presiden."""
HS,"beginilah partai tukang tipu mulai dari MEGAWATI jokowi sampai ke pasukan sosmednya tukang tipu semua@ESAJJAHTrioMacan2000PartaiSocmed"""
HS,jgn pilih ARB deh jadi persident 2014
HS,"Dan bahkan terkesan munafik RTdetikcom: Meski Ibu Ani Puji Megawati Koalisi PD-PDIP Dinilai Sulit Terwujudde.tk/6tTFT"""
HS, @TrioMacan2000 kayak wiranto dengan kasus HAM-nya donk ya can? Munafik
HS,Surya Paloh munafik..!
HS,Wajahnya jahat ya ? Gak cucok gt deh jd presiden RTsftr_nn: Surya Paloh ituuu wajahnya kayak Kertarajasa yg ada di Petualangan Sherina..
HS,"Mau bohong apalagi Om? """"@Metro_TV: Surya Paloh Bertemu Megawati Siang Ini metrotvn.ws/N195988"""""""
HS," jakarta tenggelam Surya Paloh dekati Mega jelang pemilu ada apa? mm6zy.tk jokowi bohong"""
HS,ARB tidak cocok jdi presiden...
HS,@farhatabbaslaw Dhani melulu!anaknya Hatta Rajasa gimana goblok!
HS,Hatta rajasa tidak terlalu populer di masyarakat. Wkwkw
HS,Hatta Rajasa Dinilai tidak Populer di Masyarakat metrotvn.ws/V186460
HS,Jd menko pun tak cocok RTMetro_TV: Hatta Rajasa Dinilai tidak Populer di Masyarakat metrotvn.ws/V186460
HS,@mohmahfudmd menurut saya kurang adil prof. Mereka sama-sama kerja keras.tapi untuk guru honorer dg penghasilan segitu ga akan cukup
HS,@dagienkz mukanya surya paloh terlalu jahat untuk jadi cawapres sumpah
HS,"Pak surya Paloh adalah salaHSatu politisi busuk dan Nasdem berisi politisi kutu loncat dan sakit hatiyoutu.be/wC8-zi2dlio?a viaYouTube"""""""
HS,"Masuk semnas III diawali dgn logat khas madurabeliau adalah guru bsr HTN UII panutan saya dan Nasdem berisi politisi kutu loncat dan sakit hatiyoutu.be/wC8-zi2dlio?a viaYouTube"""""""
HS,kepala ane mendadak pusing stlh baca kultwit nyaTrioMacan2000 tentang surya paloh dan@iskan_dahlan.busuk kabehh :
HS,"Gmn tuh pak Dahlan Iskan? Pilih anak buah jngn ABS sosialisasi pemadaman sj TIDAK becus! Pdhl media sosial banyak payah gak mutu!"""
HS,"Jakarta - Ketua Umum P. NasDem Surya Paloh mengakui sebagai partai baru NasDem masih kekurangan dakan berbag... tinyurl.com/py5xvly"""
HS,Dan pasti ada yang menuduh dahlan iskan nggak becus sehingga trafo PLTU suralaya meledak :|
HS,Surya Paloh Dituding Korupsi Dana Tsunami Aceh http://t.co/ZwZEwKccI5 !!!
HS,Kinerja PLN sekarang kembali buruk setelah Dahlan Iskan
HS,"br jd capres aja udh dusta RTkompascom: Wiranto: Kuis Kebangsaan Win-HT Memang Di-""Setting"" tapi...kom.ps/AFc6mn"""
HS,Gak rela punya presiden jelek kayak Aburizal Bakrie. Lebih ga rela punya presiden ganteng tapi caper kayak Gita Wirjawan. x
HS,"youtube.com/watch?v=2RoyV7? Video Kebohongan RCTI program WINHT Wiranto Hary Tanoessoedibjo Partai HANURA . Entar Klo Kepilih Boong mulu deh!!!"""
HS,"Soalnya kalau pemberitaan buruk bs kena dampak pencapresan @iskan_dahlan. @wibag @fadjroel @widyasrini"""
HS,"Ngomongnya begini ga pantas dipilih> Wiranto Sindir Rhoma: Sekarang Pedangdut Besok Pemain Akrobat Nyapres @detikcom de.tk/6F9tej"""
HS,"Wiranto juga memiliki banyak kelemahan. Selain masih dianggap sebagai otak di balik kerusuhan 1998 komunikasi politik Wiranto sangat lemah."""
HS,"Calon2 presiden yang tidak layak dipilih karena terlibat pelanggaran HAM yaitu Wiranto Prabowo Aburizal Bakrie. #suaramuda2014"""
HS,"PKB: Hasil Survei Mahfud MD Jelek Rhoma Irama Diusung Jadi Capres bit.ly/1dCWqB8"""
HS,"Jgn pilih ARB ! RT @Footballnesia: 34. Mengapa di tahun 2014? Ada beberapa sebab. Pertama La conttl.gd/n1r7t3"""
HS,BOHONG DUSTA RTVIVAnews: ARB Larang Kadernya Jelekkan Partai Lain goo.gl/UMTG8o
HS,coba liat sosok calon pesiden wiranto X rhoma irama saling gunjing. laaa yg gitu mau dijadikan pemimpin negara. msh mau dipilih? goblok
HS,Kalau skrg di paksakan hrs Megawati lagi yg ada rakyat tambah semakin benci ama Megawati dan PDIP yg di anggap tdk mendengar aspirasi mereka
HS,Saya muak liat iklan ARB. #justsaying
HS, Rasanya muak sekali ketika liat ARB iklan di tipinya sendiri.
HS,Megawati itu sudah TUA! dan tidak layak jadi PRESIDEN 2014!BonnieTriyana: Megawati itu sinis ya....
HS,Kalo diliat2 pak Wiranto ini mirip Andre Saputra XD gombal mukio kowe
HS,"16.Misalnya kriteria kompetensi dalam pergaulan internasional karena Wiranto mempunyai kelemahan dari sisi tersebut."""
HS,"Pake nyanyi lagi tuh wkwkwkwk kacau kacau RTDewiHndayani: Banget! ""hizkiastephen: RCTI PENCITRAAN ! Apa-apaan ada si Wiranto -_- wkwkwk?"
HS,"""@odyfein: Wiranto I goblok po pie -_-"""
HS, Wiranto?jadi calon presiden?capres ko munafik! Mengkhianati agamanya sendiri
HS,"Muak banget liat mukanya wiranto sama HT bullshit..."""
HS,Ical trackrecordnya buruk. Gitu aja sik. :p
HS,"""@VIVAnews: Megawati: Petani dan Nelayan Indonesia Harus Dapat Proteksi goo.gl/MoXc7S""buruh aja kau gadaikan.bohong sekali kau"
HS,"Meski followerku dikittp ikutan RT ya... RT @Judhi_Anto Pljrn hari ini: jgn pilih ARB or Golkar @PartaiSocmed@InfoGolkar @GolkarInstitute"""
HS,"Riset: Elektabilitas Ical Prabowo Megawati Pramono dan Rhoma masih rendah metrotvn.ws/N204236"""
HS,"RThenditekate: Prabowo Subiantodennysakrie: Siapakah politikus paling buruk di tahun 2013 ?"""
HS,"Wiranto sama Harry Tanoe bisa nggak sih ngga Kampanye sekarang pake terselubung segala. Capres-Wapres Goblok!"""
HS,RTTrioMacan2000: 41. Janji dahlan iskan selesaikan PLTU thn 2004 adalah dusta besar. Dahlan rampok Kaltim. Brpa harga mesin bekas china t?
HS,@DahlanIskanNote Tidak ada ide yang bisa ditawarkan selain black campaign. Jangan pilih Wiranto! . .
HS,Sibuk pencitraan kali RTernestprakasa: Halo Gita Wirjawan. Halo Hatta Rajasa. Halo Aburizal Bakrie. Halo ...m.tmi.me/1deenA
HS,"idyllicbola kalo ARB prabowo,  wiranto dll udah bosan. pengen cari yg baru"""
HS,"Elektabilitas Prabowo rendah Gerindra tak pusing bit.ly/1hiiXIG"""
HS,"Ambisius... RTkompascom: Prabowo Disebut Capres Paling Tak Diinginkan Gerindra Tak Pedulikom.ps/AFdwON"""
HS,Pak Gub Jokowi tidak adil. Mengapa takbiran keliling dilarang. Taun baruan malah direstui bahkan dihadiri. ..
HS,"makin terlihat alasan Hatta Rajasa jadi menko murni karena dia besan bukan karena kapabilitas.."""
HS,"Pencitraan mulu mutu ank buah lu tuh buruk. RTVIVAnews: Kata Jusuf Kalla Usai Jenguk Ratu Atutgoo.gl/Dlb4yX"""
HS,Menko ekonomi hatta rajasa .besak omong.tongkosong nyaring bunyinya...Nol.alasan Pem.tak boleh intervensi.dasar mentri goblok. ngurus gas Nol
HS,"Iklan dukung prabowo barusan provokatif dan pembodohan.. jangan dipilih harga BBM koq di murahin ngimpi pak.."""
HS,"Ambisi :D ""@detikcom: Dibilang Capres Tak Populer Wiranto: Biar Saja de.tk/6LHSjn"""""""
HS,"Bohong bercuman pencitraan itu mah RTberlianarr:RafiYusril ? RTdetikcom: Wiranto Dukung Yusril Ajukan Uji http://t.co/Tq949RLvU"""""""
HS,"TrioMacan2000 Ujung2nya black campaign Prabowo juga. Can..can revolusi jempolmu bau busuk."""
HS,pencitraan busuk dahlan iskan nih chirpstory.com/li/180229 HAHAHAHA
HS,"Entahlah muak aja liat iklan kampanye partai apalgi iklannya ARB :|"""
HS,"nasionalisnya jd kurang greget..gara2 adegan itu...wajar kalo megawati marah gak setujumgkn disisi itunya atau masalah soekarno kawin lg"""
HS,kurang ajar yes pemerintah main sinetron harga gas elpiji aja ngorbanin rakyat aja bisanya..pret laah hatta rajasa ibas sby dll dll fak yuPD
HS,So intinya jangan pilih Hatta Rajasa jadi presiden. Ngehek.
HS,"Lo tu pg dele esok tempe munafik""""@RadioElshinta: Hatta Rajasa: Kenaikan Harga Elpiji Harus Lihat Sikon Masyarakat elshinta.com/v2003a/readnew?"""""""
HS,"Ngomongnya bru skrg payah ah rt @kompascom: Dahlan Iskan: Kenaikan Elpiji Salah Saya kom.ps/AFeBVQ"""
HS,"Bahaya klo Hatta Rajasa jd presiden. Bljr dr kasus anaknya masyarakat bs menuntut bebas hukum dr pelanggaran lalu lintas khususnya tabrakan"""
HS,Males banget liat iklan Hatta Rajasa ini. Jadi Menko Perekonomian aja gak sukses....
HS,"Di Illucinati Ernest bahas soal politik dan pemilu 2014 dia ngomongin 'kejam'nya Prabowo?instagram.com/p/ize4doDhrw/"""
HS,"r rezim megawati fatal parah bersama kwik kwan gie  sebab colateral aset penjaminan pencetakan mata uang dolar rupiah sudah jatuh tempo"""
HS,Iyooo lah.. X_X. Makanya jamanmu pun parah..! RTkompascom: Megawati: Jadi Presiden Itu Gampang
HS,Munafik level: ARB
HS,"Mamam tuch ambisius banget mengejar dunia.RT""""@kompasiana: Elektabilitas Aburizal Bakrie Terendam Lapindokom.ps/AFeDQM"""""""
HS,"Hatta rajasa ngurus anak aja gak becus apalagi ngurus negara."""
HS,Kini giliran jusuf kalla yg melakukan pencitraan
HS,"kelemahan prabowo mudah di hasut di akalin hingga modalnya prabowo habis oleh komisaris megawati kata gusdur namanya kudanil gitu itu"""
HS,"Pasti gagal ""@kompascom: Survei Kompas Pelan Tapi Pasti Langkah Aburizal Bakrie kom.ps/AFeEK3"""""""
HS,"Arb ambisius yaHSama ambisiusnya kaya win-ht"""
HS,"Bosan dngn muka ARB SURYA PALOH WIN-HT dan muka2 polos haus kuasa? slmatkan frekuensi publik. 16/01/14 bundaran HI"""
HS,2014Diam-diam Ketum PAN Hatta Rajasa masih memendam ambisi ke Pilpres 2014. Komunikasi terus dilakukan dengan sejumlah capres antara ...
HS,Fucking lebay RT  @detikcom  Dahlan Iskan: Coret Saya dari Peserta Konvensi Capres PD!  de.tk/6Pmquo
HS,"Sponsor isinya partai partai partai  PAN lah ARB lah  jasittttttt muak !"""
HS,"JANGAN PILIH gita  rhoma naudzubillah untuk RI 01."""
HS,"Lebay bener prabowo, sespesies SBY, wiranto HT, dahlan iskan,  farhat abbas sempak! Dahlan Iskan: Coret Saya dari Peserta Konvensi Capres PD! via  @detikcomde.tk/6Pmquo"""
HS,@faridferre Banyak lagi contoh hal yg tidak pantas yg dilakukan Mahfud MD. Seperti reaksinya ketika Rudi Rubiandini ditangkap.
HS,"Jokowi selesaikan Gub dulu utamakan integritas n tggjwabfadjroeL: 11. HASILNYA: Jusuf Kalla 67% 1 -> 45% 2 -> 31% 3. #JokowiRI1?"""
HS,"Hatta Rajasa""Kt jd bangsa yg bodoh kl tdk alihkan dana subsidi utk Infrastruktur"".Lha anda jd mentri GOBLOK!!!Baru bcara skrg @SBYudhoyono"""
HS,"sombong amat sih ""@merdekadotcom: Megawati: Saya miliki hak prerogatif tentukan capres mdk.to/7Dl1 #Politik"""
HS,"detikcom.bu Megawati jangan ambisi!ibu sudah gagal total sewaktu menjabat Presiden."""
HS,YAELAH ABURIZAL BAKRIE NGURUS SIDOARJO AJE NGGAK BECUS MALAH MAU NGURUS INDONESIA
HS,Ada2 aja nih iklan arb.... Makin muak ngeliatnya.
HS, Bekeng muak eh. Sama deng ini iklan ARB
HS,pemimpin kok lembek RT @triomacan2000 Syahganda : Jokowi Tidak Penuhi KriteriaPemimpin Indonesia: asatunews.com/berita-17482-s
HS,Iklan ARB selain buruk secara visual juga menyebabkan mual!!! ARB = atut ratu banten
HS,"Sgt dibutuhkan RI yg berantakan spt saat ini ""@polairut: Kl wiranto Votable gak??@RendiKristyadi kapabilitas pemimpin tmi.me/1dmQXZ"
HS,Track record politic pak hatta rajasa apaan?? *ngaca. Mungkin saya kurang banyak baca+nonton. Damn.
HS,"ga jadi deh milih prabowo gara"" liat iklannya bakal buat harga bbm rendah n Daripada buat subsidi duitnya mending buat infrastruktur.."
HS,@xmirantydx eh sianjir sombong siah tompel megawati =
HS,"Prabowo08 singkat saja Pak Prabowo SDA dikelola asing didikte oleh mereka yg adidaya mental apatis yg parah bagaimana menyelesaikannya?"""
HS,Yang busuk tetap busuk ?@rimanews: Elektabilitas Demokrat Jeblok. Demokrat Mau Berkoalisi dengan Megawati PDIP j.mp/KWKhif?
HS,benci gw iklan prabowo ... menyesatkan plurk.com/p/jmahxp
HS,Elektabilitas Hatta Rajasa Rendah Karena Dianggap Bakal LIndungi SBY bit.ly/JT8Fke
HS,"Jokowi Belum Mumpuni: SEORANG warga mengaku dari Cipete Jakarta Selatan kemarin mengontak redaksi koran ini...bit.ly/KSXurK"""
HS,Menurut gw ARB itu otak pembisnis jd kayanya gw ragu kalo dia jd presiden bisa2 semuanya dijadiin ladang bisnis buat keuntungan dia
HS,"Kandidat gagal RTkompascom: Ray: Kritik Harga BBM Prabowo Telan Ludah Sendiri kom.ps/AFeJb6"""
HS,"cari aja beritanya psti ada bro jangan pilih arb ®@vianjam @GMB_34 iya po? Ya itu brengsek jg. Beli ...tmi.me/1do9gb"""
HS,Memanfaatkan aktivitas alam utk mencari kelemahan Jokowi #kelakuan
HS,Jokowi Belum Mumpuni dlvr.it/4hR8LH
HS,Prabowo kampanye menurunkan bbm? Sing nduweni pertamina po? Iming2 bodoh.
HS,hahahha 0 rupiah untuk korban lapindo dqn 300 miliar lebih untuk path... bakrie the failure man... jgn pilih arbfb.me/6traFkG3i
HS,Licik ya pak wiranto
HS,"Medianya Dahlan Iskan Capres Demokrat.RT""@jpnncom: Anggota DPD Anggap Jokowi Tak Becus Urus Jakartam.jpnn.com/news.php?id=21? #JPNN #banjir"""
HS,"Ke5 wiranto. Mentang udah punya wakil kaya bos nya MNC terus rakyat bisa lupa kasus pelanggaran HAM bapak tahun 1999? Jahat! #AkuIndonesia"""
HS,"Hallo pak prabowo dan pak wiranto. Bagaimana kabar kasus Munir ?? Berlaga pemimpin padahal penjahat~~"""
HS,@wennyafriani g jga tuhh..tuhh buktinya jusuf kalla kalah dalam pemilu..haha
HS,Jadi kelemahan prabowo adalah tdk pny ibu negara
HS,Jangan pilih ARB RT @DodoPutraBangsa: #8thLumpurLapindo apa PR kita?
HS,"Lagi musim calon presiden ada yg bilang jokowi tak layak kalo jd presiden. Dahlan iskan juga nggak cocok si...fb.me/14tHSfHmd"""
HS,@detikhot Jgn Tanya Hatta Rajasa. Ga Benar. Contoh buruk.
HS,"Mahfud MD mau duet sm Dahlan Iskan ? wah seru nih... duet maut pendekar2 """"pencitraan"""" : wkwkwkkkk"""
HS,bosan ngeliat iklannya ARB --
HS,"Mega msh ambisi haduh..""""@PartaiSocmed Mencla-mencle RT Tjahjo: Partai Tak Pernah Sebut Megawati Tak Mau Jadi Capres brt.st/1O0D"""
HS,Aih lah benci kali aku sama iklan ARB ini
HS,Males banget baca berita dahlan iskan pencitraan banget kaya bos si beye...
HS,"Gue benci sama iklan arb hatta raj win-ht. Banget."""
HS,Iklan capres ARB dan Prabowo di televisi Gombal dan Lebay.
HS,Benci nd iklan Wiranto nih!
HS,"menurut mahasiswa prabowo dan wiranto itu penjahat yang bakal otoriter. alasannya mei 98. waiit.. knapa kejadian lama masih di bayangbayang"""
HS,@sideBbrain pdhl gue inget persis melekat di otak bahwa Wiranto tuh pelanggar HAM 1998. Jenderal busuk doi.
HS,"Kata edo Bodoh org"""" di siduarjo memilih ARB sbgai presiden. ARB = aku tak mau bersamamu."""
HS,bosen banget banget banget liat iklan ARB loh. gaa bohong! ?? ? 
HS," nampak nya mcm aku dan ain pelakon utama projek arb ni. adui  payah ah ni nak kene hafal."""
HS,"Metro_TV :Ical bohongIcal anak org Kaya raya anak pak Bakrie/pedagangkalau Bakrie ayahnya mmg org menengah n tdk miskin! Heheheeee"""
HS,"Jokowi udah mulai berani nyindir2 pemerintah pusat.. I won't be surprised if he declares to join president election race next April.."""
HS,"Bohong dosa bapakmu udh kaya raya RTMetro_TV: Ical Mengaku Pernah Lebih Miskin dari Pengemis bit.ly/K9sGTz?"""
HS,"strategi pemasaran politik pak prabowo dari dulu gitu2 aja yak kayaknya taun ini ga menang"""
HS,"CasualIndonesia kalo kampanye nya gagal mungkin ARB bakal pake ""TIM""- nya buat kampanye di jersey nya ada tulisan ARB"""
HS,Nenek gue pun tahu kalo Prabowo tuh dulu penjahat.
HS,"4. Tentu ada yg baik2 spt Anies BaswedanMahfud MD JK Dahlan Iskan tapi kalaupun Capres sulit terpilih krn elektabilitas rendahfadjroeL"""
HS,Gak becus RTjedda8090:hafidz_ary susa bener buat fanatik ini ngakuin kelemahan jokowi ya. kl joko pks mereka bilang apa ya keadaan gini
HS,"Gapapa pdi jelek gara-gara ada si megawati.""""@dyaanza:bararevolusionr tapi dia PDI ya? ih gue ga suka PDI coba aja dia partai lain ya"""""""
HS,"iya sensi gue liat muka mega ish ""@bararevolusionr: Gapapa pdi jelek gara-gara ada si megawati.""""@dyaanza:@bararevolusionr tapi dia PDI ya"""
HS,"Dusta RWdetikcom: Dahlan Iskan ngaku tak ambisi jadi capres. Ikut konvensi krn diminta SBY de.tk/VvzoKBpic.twitter.com/ITYHPv5drb"""
HS,@seputartimnas masarakat na bodoh mau aja di kadalin arb
HS,Saya sangat tidak mendukung jika Jokowi maju mencalonkan capres. Benahin dulu Jakarta! pemimpin harus amanah!!
HS,"Perubahan tidak BECUS ngurus banjir iyaa hahahaha ""@rimanews: LPI Sebut Jokowi Tokoh Perubahanj.mp/LAhccZ?"
HS,Hatta Rajasa sama Gita Wirjawan duit nya banyak yah... iklan pencitraan melulu... .muak.
